name,position,ESPN,RTSports,MFL,Fantrax,FFC,Sleeper,AVG
Gerrid Doaks,RB,,,,420,,,420.0
Tony Romo,QB,,,,422,,,422.0
Chad Beebe,WR,,,,423,,,423.0
Devin Duvernay,WR,,,,424,,,424.0
Ryan Santoso,K,,,,425,,,425.0
Charlie Woerner,TE,,,,426,,,426.0
Taylor Heinicke,QB,,,,427,,,427.0
Greg Joseph,K,,,,428,,,428.0
Brandon Dillon,TE,,,,429,,,429.0
Noah Gray,TE,,,,430,,,430.0
Davis Mills,QB,,,,431,,,431.0
Chad Henne,QB,,,,432,,,432.0
Kyle Rudolph,TE,,,,433,,,433.0
Trent Sherfield,WR,,,,434,,,434.0
Mike Glennon,QB,,,,435,,,435.0
Rex Burkhead,RB,,,,436,,,436.0
Willie Snead IV,WR,,,,437,,,437.0
Drew Sample,TE,,,,438,,,438.0
Joe Flacco,QB,,,,439,,,439.0
Jacoby Brissett,QB,,,,440,,,440.0
Harrison Bryant,TE,,,,441,,,441.0
Cornell Powell,WR,,,,442,,,442.0
Gardner Minshew II,QB,,,,443,,,443.0
Jacob Hollister,TE,,,,444,,,444.0
